Customer ID,Name,Card Number,Expiration Date,Security Code
1,John Doe,4532015112830366,12/25,123
2,Jane Smith,5223456789012345,06/24,456
3,Robert Johnson,371449635398431,09/23,789
4,Alice Williams,6011000990139424,03/22,234
5,Michael Brown,4532015112830366,08/25,567
6,Emily Davis,5555555555554444,11/23,890
7,Chris Anderson,4111111111111111,05/24,123
8,Susan Miller,6011000990139424,10/22,456
9,David Taylor,4916337039752603,02/23,789
10,Emma Wilson,4111111111111111,07/24,234
11,Mark Johnson,4532000000000000,01/26,567
12,Linda Davis,5555333366667777,04/23,890
13,James Smith,5222444455556666,06/24,123
14,Olivia Williams,6011888800001345,10/22,456
15,Grace Anderson,4111222233334444,09/24,789
16,Andrew Taylor,4916777788881111,05/23,234
17,Emma Wilson,4111333344445555,07/24,567
18,Mia Johnson,4532999911112830,12/25,890
19,Christopher Davis,5555111122223333,02/23,123
20,Abigail Miller,6011999933321221,08/22,456
